　	ork
我难道真的是个银荡的人吗？每天在浴室里面玩全裸露出，天天给筷子口角，去学校玩制服 play ，上课跟老师玩主仆 play ，写作业 NTR 别人的答案，我还有救吗家人们	ybdh
小兄弟，你还年轻，你走吧，我不想打击你，整个QQ都是我的小号，不信我换个ID给你说同样的话。	xnhc
感谢主播推广的杯子，之前一直用别家的杯子各种不舒服，硅胶材质也不好。在经过漫长的两个月寻找杯子的历程中，终于让我发现了主播推广的杯子，真的太好用了刚开始用，感觉灵魂都被吸走。天然橡胶材质，让我感觉特别舒服，价格实惠，值得购买。在这里感谢主播推广，才能让我找到这么好用的杯子，真心推荐，价格实惠，值得购买。	bwzi
小兄弟，你还年轻，你走吧，我不想打击你，整个QQ都是我的小号，不信我换个ID给你说同样的话。	nmqk
等一下，刚才跟你玩的人是谁？我不是早就警告过你不要跟别人玩了吗？你为什么还是不听我的？为什么每天都在跟别人玩不来找我？你知道我每天盯着聊天框等着新消息有多难受吗？为什么不来找我？是因为别人长得比我好看吗？你看腻了？还是觉得我性格不好？讲话很难听？还是觉得我很烦？我明明已经努力憋着不烦你了，我一直在等着你给我发消息，为什么你却天天把我晾在一边？你为什么要疏远我？是不是他的搭档跟你关系太好了？你觉得别人能给你的好处比我大？还是说你觉得我情商很低不能给你足够的情绪价值？为什么你的眼里只有别人没有我？别人到底哪里比我好了？你不是说最喜欢我了的吗？为什么还要跟别的人拼机？男的女的都没必要吧，你的身边有我还不够吗？我给你提供的情绪价值够多了吧！辛苦了一天还有精力去机厅原来是找别的人拼机了？跟他们一起玩很开心吧？你们是不是还在一起打恋爱裁判？把你的手机给我看，快点！为什么她会给你发信息？你喜欢带萌新吗？原来是这样…你说的喜欢我到底是真的还是假的？为什么不能满足于只有我一个人呢？明明你给我发信息我都会回复你的…是你没有给我发信息！你就这么忍心把我晾在一边然后和别的女人拼机吗？她比我更温柔体贴？更漂亮吗！？原来是这样…你觉得我很麻烦！？可是我只是因为喜欢你才这么担心你的啊！你明明说了只会喜欢我一个人…永远永远都只喜欢我的啊？你也在骗我吗？说好的永远在一起，说好的只喜欢我，说好的会一直陪着我…难道这些全都是假的吗！？那那些幸福的回忆也都是你演出来的吗！？	dyxx
啊啊啊宝宝你是一个香香软软甜甜糯糯蜂蜜奶油甜甜腻腻酥酥脆脆滑滑嫩嫩番茄炒可乐番茄炒科比草莓蓝莓苹果香蕉葡萄香香甜甜酸酸甜甜辣辣爽爽咸咸鲜鲜苦苦甘甘滑滑嫩嫩酥酥脆脆软软绵绵弹弹润润油油腻腻清清爽爽浓浓醇醇淡淡幽幽热热乎乎冰冰凉凉黏黏糊糊爽爽脆脆鲜鲜嫩嫩辣辣麻苦苦辣辣苹果香蕉橙子草莓葡萄西瓜樱桃菠萝猕猴桃蓝莓桃子梨杏李子西红柿黄瓜胡萝卜生菜菠菜花椰菜卷心菜洋葱大蒜土豆红薯南瓜玉米豌豆扁豆红豆绿豆黄豆黑豆鸡蛋贝类牛肉羊肉猪肉鸡肉鸭肉鹅肉火鸡肉香肠山竹杨桃莲雾释迦果刺梨番石榴酸角蛋黄果佛手柑人心果红毛丹西番莲灯笼果油桃青蜜橘金煌芒凯特芒菠萝蜜木瓜柠檬草甘蔗杨梅桑葚干乌梅柿饼沙棘余甘子木菠萝番荔枝秋葵芦笋孢子甘蓝羽衣甘蓝芝麻菜冰菜罗马生荷兰豆甜豆龙牙豆紫甘蓝甜菜叶鱼腥草莼菜蕨菜马齿苋蒲公英荠菜香椿香菜薄荷罗勒紫苏牛至迷迭香百里香鼠尾草香茅海白菜藜麦荞麦青稞小米糙米燕麦米黑麦大麦薏米高粱米玉米碴全麦面包法棍可颂意面通心粉蝴蝶面乌冬面荞麦面凉皮米皮年糕糍粑汤圆粽子烧麦包子花卷发糕驴打滚艾窝窝钵仔糕鹰嘴豆黑豆花豆芸豆毛豆豌豆苗豆芽纳豆天贝腐乳豆泡油皮素鸡腐竹凉粉魔芋丝蕨根粉宽粉粉丝鹿肉兔肉鸽子肉鹌鹑肉鹅肝牛舌牛百叶牛霖羊排羊蝎子鸡爪鸡翅尖鸡胗鸭掌鸭舌鱼丸虾滑鱿鱼须墨鱼仔八爪鱼海蜇皮海胆瑶柱淡菜生蚝蛏子花蛤田螺泥鳅黄鳝马苏里拉奶酪车打芝士奶油奶酪黄油煎蛋水波蛋溏心蛋咸蛋黄奶酪棒炼乳蜂蜜柚猫你是一只狗狗你是一头猪猪你是一只羊羊你是一头牛老师你是个学生学生你是个校长校长你是个门卫门卫你是个厨师哥哥你是个姐姐姐姐你是个弟弟弟弟你是个妹妹妹妹你是个哥哥老虎你是只兔子兔子你是只松鼠松鼠你是只刺猬刺猬你是只蚂蚁医生你是个病人病人你是个护士护士你是个院长院长你是个清洁员爷爷你是个奶奶奶奶你是个外公外公你是个外婆外婆你是个爷爷海豚你是条金鱼金鱼你是条鲨鱼鲨鱼你是条蝌蚪蝌蚪你是条鲸鱼班长你是个组员组员你是个学习委员学习委员你是个体育委员体育委员你是个班长叔叔你是个阿姨阿姨你是个舅舅舅舅你是个舅妈舅妈你是个叔叔熊猫你是只麻雀麻雀你是只鸵鸟鸵鸟你是只蜜蜂蜜蜂你是只大象司机你是个乘客乘客你是个售票员售票员你是个交警交警你是个司机爸爸你是个妈妈妈妈你是个爷爷爷爷你是个外公外公你是个妈妈乌鸦你是只孔雀孔雀你是只企鹅企鹅你是只鹦鹉鹦鹉你是只蜗牛经理你是个实习生实习生你是个主管主管你是个董事长董事长你是个经理姑姑你是个姑父姑父你是个姨妈姨妈你是个姨夫姨夫你是个姑姑章鱼你是只瓢虫瓢虫你是只蜈蚣蜈蚣你是只蜘蛛蜘蛛你是只蝴蝶厨师你是个顾客顾客你是个配菜师配菜师你是个餐厅老板老板你是个厨师弟弟你是个哥哥哥哥你是个姐姐姐姐你是个妹妹妹妹你是个弟弟狮子你是只蚊子蚊子你是只河马河马你是只老鼠老鼠你是只长颈鹿会计你是个出纳出纳你是个审计审计你是个财务总监财务总监你是个会计舅妈你是个叔叔叔叔你是个舅妈舅妈你是个舅舅舅舅你是个叔叔鸽子你是只乌龟乌龟你是只老鹰老鹰你是只青蛙青蛙你是只燕子导演你是个演员演员你是个场记场记你是个灯光师灯光师你是个导演表哥你是个表姐表姐你是个表弟表弟你是个表妹表妹你是个表哥蟑螂你是只蜜蜂蜜蜂你是只蝴蝶蝴蝶你是只蜻蜓蜻蜓你是只毛毛虫护士你是个医生医生你是个病人病人你是个护工护工你是个护士外婆你是个外公外公你是个奶奶奶奶你是个爷爷爷爷你是个外婆天鹅你是只鸭子鸭子你是只火烈鸟火烈鸟你是只企鹅企鹅你是只天鹅编辑你是个作者作者你是个校对对校是个主编主编你是个编辑姨夫你是个姑姑姑姑你是个姨夫姨夫你是个姨妈姨妈你是个姑父蚯蚓你是只螳螂螳螂你是只蟋蟀蟋蟀你是只蝗虫蝗虫你是只蚕宝宝主播你是个观众观众你是个助理助理你是个策划策划你是个主播堂哥你是个堂姐堂姐你是个堂弟堂弟你是个堂妹堂妹你是个堂哥猫头鹰你是只麻雀麻雀你是只蝙蝠蝙蝠你是只杜鹃杜鹃你是只猫头鹰农民你是个工人工人你是个老板老板你是个快递员快递员你是个农民姑父你是个姨妈姨妈你是个姑父姑父你是个舅舅舅舅你是个顾客顾客你是个烘焙师烘焙师你是个店长店长你是个咖啡师堂弟你是个表姐表姐你是个表妹表妹你是个堂哥堂哥你是个堂弟骆驼你是只羊驼羊驼你是只牦牛牦牛你是只骆驼骆驼你是只绵羊公务员你是个创业者创业者你是个面试官面试官你是个考生考生你是个公务员姨夫你是个舅舅舅舅你是个姨夫姨夫你是个姑父姑父你是个姨妈蜘蛛你是只螳螂螳螂你是只蜜蜂蜜蜂你是只甲虫甲虫你是只蝴蝶导游你是个游客游客你是个地接地接是个旅行社经理经理你是个导游堂妹你是个表弟表弟你是个堂哥堂哥你是个表姐表姐你是个堂妹松鼠你是只兔子兔子你是只刺猬刺猬你是只狐狸狐狸你是只松鼠厨师长你是个帮厨帮厨你是个食客食客你是个餐厅老板老板你是个厨师长姑父你是个叔叔叔叔你是个姑父姑父你是个姨夫姨夫你是个舅舅蚂蚁你是只瓢虫瓢虫你是只蚯蚓蚯蚓你是只蜈蚣蜈蚣你是只蚂蚁健身教练你是个会员会员你是个巡场教练巡场教练你是个健身房老板老板你是个健身教练表哥你是个表弟表弟你是个表姐表姐你是个堂妹堂妹你是个表哥熊猫你是只北极熊北极熊你是只企鹅企鹅你是只树袋熊树袋熊你是只熊猫老板你是个烘焙师表弟你是个表姐表姐你是个堂弟堂弟你是个堂姐堂姐你是个表弟猩猩你是只猴子猴子你是只狒狒狒狒你是只长臂猿长臂猿你是只猩猩技术总监你是个程序员程序员你是个测试员测试员你是个产品经理经理你是个技术总监姨妈你是个舅妈舅妈你是个姨妈姨妈你是个叔叔叔叔你是个姑父螳螂你是只蝗虫蝗虫你是只蚂蚱蚂蚱你是只蟋蟀蟋蟀你是只螳螂洗车工你是个车主车主你是个学徒学徒你是个洗车店老板老板你是个洗车工堂妹你是个表哥表哥你是个堂姐堂姐你是个表弟表弟你是个堂妹牦牛你是只绵羊绵羊你是只山羊山羊你是只骆驼骆驼你是只牦牛运营总监你是个用户用户你是个运营专员专员你是个市场总监总监你是个运营总监姨夫你是个叔叔叔叔你是个姨夫姨夫你是个舅妈舅妈你是个姑父飞蛾你是只蝴蝶蝴蝶你是只蜻蜓蜻蜓你是只萤火虫萤火虫你是只飞蛾月嫂你是个产妇产妇你是个育婴师育婴师你是个家政公司老板老板你是个月嫂表哥你是个堂弟堂弟你是个表姐表姐你是个堂妹堂妹你是个表哥针鼹你是只鸭嘴兽鸭嘴兽你是只袋鼠袋鼠你是只树懒树懒你是只针鼹产品经理你是个用户用户你是个开发开发你是个设计师设计师你是个产品经理舅舅你是个姨妈姨妈你是个舅舅舅舅你是个舅妈舅妈你是个叔叔跳蚤你是只虱子虱子你是只螨虫螨虫你是只蜱虫蜱虫你是只跳蚤催乳师你是个宝妈宝妈你是个护士护士你是个月子中心老板老板你是个催乳师表姐你是个堂哥堂哥你是个表弟表弟你是个堂妹堂妹你是个表姐水牛你是只犀牛犀牛你是只大象大象你是只河马河马你是只水牛市集总监你是个消费者消费者你是个销售销售你是个策划策划你是个市场总监舅妈你是个姨夫姨夫你是个舅妈舅妈你是个姑父姑父凉粉魔芋丝蕨根粉宽粉条粉丝条鹿肉干兔肉干鸽子肉干鹌鹑肉干鹅肝酱牛舌饼牛百叶牛霖肉羊排羊蝎子鸡爪鸡翅尖鸡胗鸭掌鸭舌鱼丸虾滑鱿鱼须墨鱼仔八爪鱼海蜇皮海胆黄瑶柱丝淡菜干生蚝干蛏子干花蛤干田螺肉泥鳅干黄鳝段马苏里拉芝士车打芝士片奶油芝士黄油煎蛋水波蛋溏心蛋咸蛋黄奶酪棒炼乳蜂蜜柚子茶草莓酱蓝莓酱黑胡椒酱照烧酱甜辣酱沙茶酱豆瓣酱剁椒酱花椒油藤椒油雪花酥牛轧糖凤梨酥绿豆糕杏仁饼桃酥蛋卷沙琪玛麻花米糕驴打滚糖炒栗子烤红薯干菠萝干芒果干草莓脆蔬菜脆片海苔片虾条蟹味棒棉花糖果冻布丁双皮奶姜撞奶杨枝甘露烧仙草龟苓膏冰粉糖粥冬瓜茶酸梅汤米浆杏仁露核桃露椰子水气泡水康普茶汤汁醇厚咖啡甘甜果汁爽口凉菜酸辣汤苦荞茶咸香饼干酥脆油条软糯粽子滑爽凉皮劲道面条鲜美鱼汤清香米饭扑鼻菜香诱人蛋糕色泽蛋糕香气蛋糕口感丰富蛋糕层次蛋糕风味独特蛋糕香气四溢蛋糕回味无穷蛋糕色香味俱佳蛋糕口感细腻蛋糕肉质鲜嫩蛋糕色泽金黄蛋糕外酥里嫩蛋糕香气浓郁蛋糕味道鲜美蛋糕口感滑嫩蛋糕味道醇厚蛋糕味道独特蛋糕香气扑鼻蛋糕山核桃蛋糕番荔枝蛋糕人心果蛋糕蛇皮果蛋糕刺山柑蛋糕醋栗蛋糕接骨木果蛋糕费约果蛋糕嘉宝果蛋糕西梅蛋糕棉花糖果冻布丁双皮奶姜撞奶杨枝甘露烧仙草龟苓膏冰粉糖粥冬瓜茶酸梅汤米浆杏仁露核桃露椰子水气泡水Kombucha康普茶姜茶薄荷茶洛神花茶大麦茶黑咖啡卡布奇诺拿铁珍珠奶茶奶盖茶青稞奶茶酥油茶格瓦斯火腿培根肉丸汉堡热狗披萨寿司拉面咖喱炖肉烤肉烤鱼烤鸡沙拉汤粥蒸蛋豆腐豆浆豆奶豆腥草豆皮豆干芒果柠檬柚子金桔百香果火龙果牛油果无花果荔枝龙眼枇杷山楂桑葚甜瓜哈密瓜甜菜根莴苣茼蒿芥蓝芹菜荠菜苋菜意式烤蔬菜配香草酱和橄榄油鲜美多汁香脆可口滑嫩浓郁醇厚甘甜爽口香辣酸甜苦辣咸香酥软糯滑爽劲道鲜美清香扑鼻诱人色泽鲜艳香气扑鼻口感丰富层次分明风味独特香气四溢回味无穷色香味俱佳口感细腻肉质鲜嫩色泽金黄外酥里嫩香气浓郁味道鲜美口感滑嫩味道醇厚味道独特味道浓郁口感丰富味道鲜美味道醇厚味道独特香气扑鼻的小蛋糕	aabb
群里某个咕咕嘎嘎，以后不咕咕你了，也不主动嘎嘎你了，刚刚我的心确实咕咕了，我对你是有嘎嘎，我一直有嘎嘎我的咕咕，不敢对你太嘎嘎，而你的咕里根本没有嘎嘎，你咕咕在群里咕咕嘎嘎吧，就此嘎嘎吧，整个群我只对你一个人咕咕嘎嘎，难道你心里就不嘎嘎吗，不然我整天闲的来这里咕咕，我不会跑别的地方咕咕嘎嘎吗？你以为我天天咕的嘎嘎吗？我如此的咕咕你，你却对我咕咕于嘎嘎，这咕咕的嘎嘎，你到底打不打算咕了？我说的是谁自己心里嘎嘎 也不主动咕你了，刚刚我的心确实嘎嘎了，我对你是有咕咕，我一直有咕咕我的嘎嘎不敢对你咕咕嘎嘎，你咕咕群里咕咕嘎嘎吧嘎嘎了	gggg
面对这个问题，我们需要拿出新水平、达到新境界，通过新举措、新发展，形成新突破，为此，我们必须重视新方法、看清新形式、理准新要求，只有这样，我们才能在新期待、新关系中，用好新本领、展现新风貌、走出新高度，新知识造就新事物、新实践获得新成果。。 一定要认识到其中的重要性，明了紧迫性、坚持自觉性、拿出主动性，以全局性、前瞻性的眼光把握时代性、坚持实践性，特别要有针对性，面对战略性、长期性的任务，我们需要考虑到其复杂性与艰巨性，调动积极性与创造性，有计划性、敏锐性的干好事情。。 同时，不能遗忘规范化、程序化与制度化的重要程度，只有在有序化、科学化、知识化、专业化的条件下，我们才能让年轻化变得正常化。。 主动热心、坚强耐心，拿出诚心与决心，用我们的红心坚持铁心与公心，明确辨析大局意识、忧患意识、责任意识，注重学习意识与上进意识，最终育养出管理意识。。 找准出发点、切入点、落脚点，注意着眼点、结合点、关键点、重视着重点、着力点、关键点，这些是做事情的支撑点。。 重要性、紧迫性、自觉性、主动性、坚定性、民族性、时代性、实践性、针对性、全局性、前瞻性、战略性、积极性、创造性、长期性、复杂性、艰巨性、可讲性、鼓动性、计划性、敏锐性、有效性；责任感、紧迫感、危机感、认同感、荣誉感、成就感；多层次、多方面、多途径、多渠道、多措施、多力量、多元素。出发点、切入点、突破点、落脚点、着眼点、结合点、关键点、着重点、着力点、根本点、支撑点；不松劲、不懈怠、不退缩、不畏难、不罢手、不动摇、不放弃、不改变、不妥协；法制化、规范化、制度化、程序化、集约化、正常化、有序化、智能化、优质化、常态化、科学化、年轻化、知识化、专业化；新水平、新境界、新举措、新发展、新突破、新成绩、新成效、新方法、新成果、新形势、新要求、新期待、新关系、新体制、新机制、新知识、新本领、新进展、新实践、新风貌、新事物、新高度；活动力、控制力、影响力、创造力、凝聚力、战斗力、感染力、亲活力；热心、耐心、诚心、决心、核心、内心、外心、中心、甘心、攻心，进取心、责任心、上进心、公仆心；政治意识、组织意识、大局意识、忧患意识、责任意识、法律意识、廉洁意识、学习意识、上进意识、管理意识；找准出发点、把握切入点、明确落脚点、找准落脚点、抓住切入点、把握着重点、找准切入点、把握着力点、抓好落脚点；激发巨大热情，凝聚无穷力量，催生丰硕成果，展现全新魅力。当前工作要有新水平、队伍建设要有新面貌、廉政建设要有新举措、自身建设要有新发展、内部管理要有新突破。政治认同、理论认同、感情认同；历史的必然、现实的选择、未来的方向。。 立足当前，着眼长远，自觉按规律办事。 抓住机遇，应对挑战，勇敢顺潮流而为。 突出重点，分步实施，找准切入点实施。 全面推进，统筹兼顾，综合治理，融入其中，贯穿始终，切实抓好，扎实推进，加快发展，持续增收，积极稳妥，狠抓落实，从严控制， 严格执行，坚决制止，明确职责，高举旗帜，坚定不移，牢牢把握，积极争取，深入开展，注重强化，规范程序，改进作风，积极发展，努力建设，依法实行，良性 互动，优势互补，率先发展，互惠互利，做深、做细、做实、全面分析，全面贯彻，持续推进，全面落实、全面实施，逐步扭转，基本形成，普遍增加，基本建立， 更加完备，逐步完善，明显提高，逐渐好转，逐步形成，不断加强，持续增效，巩固深化，大幅提高，显著改善，不断增强，日趋完善，比较圆满。	wfti
我不是xyn啊啊啊啊啊！！！什么补佳乐（慌乱）（把药吞下去）（四处张望）我不是药娘（慌乱地把药盒藏到身后）（假装冷静）（试图走近解释）（摔倒）（狼狈爬起）（再次摔倒）（着急）（抓裤脚）（惊慌）我不是药娘啊求求你们别鄙视我，求求你们不要不和我玩（慌乱）我……我真的不是药娘（眼神四处乱瞟）（惊恐）（哭泣）（在地上打滚）（想起身后的药盒）（丢掉药盒）我…我药盒是用来装水蜜桃含片的我真的不是药娘……（发疯）（跳走）（尖叫）你们不要问了啊啊啊啊啊啊啊啊啊啊啊啊啊啊我真的很容易死的！！！（阴暗地逃跑）（发现同类）好耶，我是一只药娘！（摆尾巴）（吞食补佳乐）我是药娘好耶（疯狂喵叫）（晃耳朵）好耶药娘我是药娘，好耶！！！！（摆动尾巴）（rua耳朵）（使劲撒娇）（在地上打滚）（装可爱）	xynl
呐呐 很开心吧？很开心吧，和除了我以外的女孩子一起玩很开心吧？为什么不告诉我，为什么不来找我？为什么从来不来看我？你明知道我不喜欢你和别人呆在一起，你为什么要这么做？你知道我希望我是你最亲近的人，唯一亲近的人，而不希望自己不是你最亲近的那个人，你当时是怎么跟我说的？明明说好要一辈子爱我，要积累一瞬间一瞬间无数个一瞬间最后就成为一辈子你就是这么积累的？我很讨厌你在我不知道的地方露出笑容哦！我也很讨厌你和别人牵手啊！你要牵只能牵我的手你明白吗？你只能呆在我身边你明白吗？我会一直注视你的这我早就跟你说过了吧，但你当作没听见吗？还是觉得在我的注视下和其他的女孩子卿卿我我很有味道？你喜欢这种情调吗？会喜欢吗？但是我不喜欢，我会很生气，你知道吗？我一直在想你的事情，我一直在单方面想你的事情，你在和那些偷腥猫一起的时候从来没想过我吧？你把所有的责任全部丢给我让我来选择的时候你知道我有多生气吗？明明只要说爱我就好了吧？你知道我不会放弃的，你知道我总是会这么做的。但你在做什么，不断的伤害我，你只是把我当成你的工具吗？你一点不在意我吗？一点也不会吗？完全不会？我对你来说不重要吗？只是工具吗？不可以吧，不可以这么做吧。我现在就呆在家里哦你知道的吧，她们不是会把所有的事情都告诉你吗？你总是会这样化花言巧语的骗取偷腥猫的信任，我早就知道的。之前我就已经宰了四只偷腥猫了，但现在你又从哪里新找了三只出来？你完全不会不好意思的吗？你真是是人渣中的人渣，也只有我会这么死心塌地的跟着你你明白吗，这个世界上只有我是真实存在的。你在听吗，你为什么完全不说话？来我身边哦，来我这边哦。永远不要离开，这个世界已经没救了，就安安心心地等待灭亡不好吗，和我一起见证世界的终焉是多么浪漫的一件事啊。呐呐，我很快就会来找你哦，你会藏好吗？还是继续像之前那样用你可怜的谎言继续欺骗我？还是会躲在哪个偷腥猫的床上去。你和别人牵了手吧，而且是你主动这么做的吧？我说过那是不可以的吧。别人的手是什么感觉的呢，软软的，香香的，你总是在想那些事情吧。对啊，最明白你的就是我呢，我是最理解你的，那个女孩很可爱吧，她的坚韧善良很吸引你吧，毕竟是你缺少的部分呢，但你会觉得她能弥补你缺失的部分那就大错特错了啊，能够和你永远在一起的只有我啊，一直到世界的尽头也是如此，你只能牵我的手，只能亲吻我，只能和我长相厮守你明白吗，我不想捅死你的，但是你不爱我，我也只能这么做了。与其让你继续伤害我还不如让我来为你做选择呢。你和偷腥猫们说话的时候会笑吧？为什么和我说话的时候就从来不笑呢，是不开心吗？和我在一起的时候有什么让你很不开心的事情吗？你不是向我表白了吗，你对自己的行为没有任何理解的吗？还是说我对你的放纵有些过了火，让你终无法确认到哪些是应该做的哪些是不应该做的吗。我想知道你的理由哦，我在听你的解释哦，从刚才开始你就完全没说过话了吧，为什么呢？你觉得我在很遥远的地方吗？你在找我吗？你在害怕我吗？如果你没有做任何对不起我的事情你为什么要感到害怕呢？你的手机也让她们看过了吧，我都还没看过那种东西哦，我是很信任你的，不会去管你在社交软件上面和谁聊天的哦，但是她们不会呢，她们不会照顾你这点呢，你明白了吧，只有我是对你最好的。你现在在想什么呢，我想听听你的看法哦，你对我没有任何要解释的吗，还是已经无话可说了呢？是啊，你就是这样的性格，你会因此感到愧疚吗，感到愧疚就对了啊。因为我满脑子都是你，你说过的那些话，你说过的那些事，但是你呢，我在你的想法里只占了很少很少的部分对吧，你那赌咒发誓又是在干什么，你就这么不想被我纠缠一辈子？你很讨厌我吗，很仇恨我吗？但我做的那些都是为你好啊，我只是在为了你啊，你什么时候才能明白我的付出，明白我的心意呢？我希望你喜欢上我哦，不要再像过去那样把我抛下了，我从来没怨恨过你哦，因为我是最喜欢你，最爱你，想要和你永远在一起的啊。你明白自己的定位了吗？啊也是呢，你毕竟还在这个年纪吧？没关系哦，你想来找我做什么都可以哦，毕竟我们不管是形式上还是事实上都是完全的恋人呢，我今天就会去找你哦，你不要逃跑，你要乖乖的等着我呢，你在期盼着什么呢，不论是什么都不要抱有期待哦，其实我是能感觉到疼痛的，只不过只会感觉到你对我的伤害，你会因伤害我而感到愉悦吗？那我也愿意你做到这点事啊，你可以对我做任何事情的，只要你只爱我就好了，出轨是不可以的，出轨是绝对不可以的，你可以和她们出去玩啊，毕竟她们也是你很好的朋友，从当初就是这样了，但是已经尝试了这么多遍了，我还是做不到啊，你可以跟她们出去玩哦，但是也要带上我呢，我会嫉妒你的，所以你要对我特别好，比她们都好，这样我才会感到开心，你明白吗？我希望你有个解释啊，你从刚才就一言不发呢，我只有你啊，我只剩下你了，你不是很清楚这一点吗，就是因为我喜欢你，你才会有存在的理由啊，你为什么要背叛我呢，还是说你不想活了，不想活了就不要逃跑不就好了吗，我会一直照顾你的啊，我会给你做饭的，和你打情骂俏的，和你一起玩你爱玩的那些的，很多游戏都是两个人一起玩才好玩不是吗，和喜欢的人一起玩喜欢的游戏不是快乐加倍吗。多美好啊不是吗，你为什么要毁了这一切呢，我真不明白你到底想要得到什么，拯救什么，那真是无聊的感想啊。不过我会一直陪着你的，毕竟我是个好女人嘛，毕竟我最爱你了嘛，我为了你什么事情都可以做哦。你要洁身自好呢，稍微牵手我就原谅你了，毕竟人类总是需要肢体接触的嘛，我就很讨厌别人碰我，除了你，毕竟我只爱你嘛，但是你如果有任何越界的举动，任何更进一步的打算的话，这场无聊的游戏就会到此为止哦，你就会失去我的信任呢。呐呐，说了这么多，你应该明白我的心意了吧，你看着别人的时候要想着我，你和别人在一起的时候也要想着我，你要来看我，你要珍惜我，如果你看着别人我会很沮丧的哦，不要妄图把和别人单独在一起的回忆覆盖掉和我在一起的回忆哦，你的回忆要永远要有我在场呢，我不在的时候你也要想象有我在呢，毕竟我会一直一直看着你的啊，我会一直想你的，爱你的。你很久没说过话了，你在想什么呢，你在忏悔吗？	nene
起きて！	okte
々	of
あ	a
い	i
う	u
え	e
お	o
か	ka
き	ki
く	ku
け	ke
こ	ko
さ	sa
し	shi
す	su
せ	se
そ	so
た	ta
ち	chi
つ	tsu
て	te
と	to
な	na
に	ni
ぬ	nu
ね	ne
の	no
は	ha
ひ	hi
ふ	fu
へ	he
ほ	ho
ま	ma
み	mi
む	mu
め	me
も	mo
や	ya
ゆ	yu
よ	yo
ら	ra
り	ri
る	ru
れ	re
ろ	ro
わ	wa
を	wo
ん	n
が	ga
ぎ	gi
ぐ	gu
げ	ge
ご	go
ざ	za
じ	ji
ず	zu
ぜ	ze
ぞ	zo
だ	da
ぢ	ji
づ	zu
で	de
ど	do
ば	ba
び	bi
ぶ	bu
べ	be
ぼ	bo
ぱ	pa
ぴ	pi
ぷ	pu
ぺ	pe
ぽ	po
きゃ	kya
きゅ	kyu
きょ	kyo
しゃ	sha
しゅ	shu
しょ	sho
ちゃ	cha
ちゅ	chu
ちょ	cho
にゃ	nya
にゅ	nyu
にょ	nyo
ひゃ	hya
ひゅ	hyu
ひょ	hyo
みゃ	mya
みゅ	myu
みょ	myo
りゃ	rya
りゅ	ryu
りょ	ryo
ぎゃ	gya
ぎゅ	gyu
ぎょ	gyo
じゃ	ja
じゅ	ju
じょ	jo
びゃ	bya
びゅ	byu
びょ	byo
ぴゃ	pya
ぴゅ	pyu
ぴょ	pyo
ア	a
イ	i
ウ	u
エ	e
オ	o
カ	ka
キ	ki
ク	ku
ケ	ke
コ	ko
サ	sa
シ	shi
ス	su
セ	se
ソ	so
タ	ta
チ	chi
ツ	tsu
テ	te
ト	to
ナ	na
ニ	ni
ヌ	nu
ネ	ne
ノ	no
ハ	ha
ヒ	hi
フ	fu
ヘ	he
ホ	ho
マ	ma
ミ	mi
ム	mu
メ	me
モ	mo
ヤ	ya
ユ	yu
ヨ	yo
ラ	ra
リ	ri
ル	ru
レ	re
ロ	ro
ワ	wa
ヲ	wo
ン	n
ガ	ga
ギ	gi
グ	gu
ゲ	ge
ゴ	go
ザ	za
ジ	ji
ズ	zu
ゼ	ze
ゾ	zo
ダ	da
ヂ	ji
ヅ	zu
デ	de
ド	do
バ	ba
ビ	bi
ブ	bu
ベ	be
ボ	bo
パ	pa
ピ	pi
プ	pu
ペ	pe
ポ	po
キャ	kya
キュ	kyu
キョ	kyo
シャ	sha
シュ	shu
ショ	sho
チャ	cha
チュ	chu
チョ	cho
ニャ	nya
ニュ	nyu
ニョ	nyo
ヒャ	hya
ヒュ	hyu
ヒョ	hyo
ミャ	mya
ミュ	myu
ミョ	myo
リャ	rya
リュ	ryu
リョ	ryo
ギャ	gya
ギュ	gyu
ギョ	gyo
ジャ	ja
ジュ	ju
ジョ	jo
ビャ	bya
ビュ	byu
ビョ	byo
ピャ	pya
ピュ	pyu
ピョ	pyo
ゃ	zya
ゅ	zyu
ょ	zyo
ぁ	za
ぃ	zi
ぅ	zu
ぇ	ze
ぉ	zo
ゎ	zwa
ャ	zya
ュ	zyu
ョ	zyo
ァ	za
ィ	zi
ゥ	zu
ェ	ze
ォ	zo
ヮ	zwa
っ	ztsu
ッ	ztsu
ㄅ	b
ㄆ	p
ㄇ	m
ㄈ	f
ㄉ	d
ㄊ	t
ㄋ	n
ㄌ	l
ㄍ	g
ㄎ	k
ㄏ	h
ㄐ	j
ㄑ	q
ㄒ	x
ㄓ	zh
ㄔ	ch
ㄕ	sh
ㄖ	r
ㄗ	z
ㄘ	c
ㄙ	s
ㄧ	yi
ㄨ	wu
ㄩ	yu
ㄚ	a
ㄛ	o
ㄜ	e
ㄝ	e
ㄞ	ai
ㄟ	ei
ㄠ	ao
ㄡ	ou
ㄢ	an
ㄣ	en
ㄤ	ang
ㄥ	eng
ㄦ	er
