：“	;q
简明	jmmk
见面	jmmm
缄默	jmmo
歼灭	jmmp
健美	jmmw
艰难	jmnj
奸佞	jmnk
贱内	jmnw
挤眉弄眼	jmny
简拼	jmpb
健脾	jmpi
简评	jmpk
简朴	jmpu
精明强干	jmqg
捡起	jmqi
减轻	jmqk
坚强	jmql
剑桥	jmqn
剪切	jmqp
健全	jmqr
减去	jmqu
静脉曲张	jmqv
兼任	jmrf
减弱	jmro
兼容	jmrs
尖锐	jmrv
艰涩	jmse
剪碎	jmsv
检索	jmso
鸡毛蒜皮	jmsp
减速	jmsu
减损	jmsy
箭头	jmtz
检讨	jmtc
践踏	jmta
简体	jmti
健谈	jmtj
监听	jmtk
剪贴	jmtp
减退	jmtv
减少	jmuc
建设	jmue
健身	jmuf
鉴赏	jmuh
见识	jmui
简述	jmuu
减税	jmuv
坚守	jmuz
金木水火土	jmut
奸诈	jmva
坚贞	jmvf
见证	jmvg
舰长	jmvh
健壮	jmvl
建筑	jmvu
键位	jmww
见闻	jmwf
见外	jmwd
健忘	jmwh
假冒伪劣	jmwl
举目无亲	jmwq
奸污	jmwu
坚信	jmxb
间隙	jmxi
饯行	jmxk
艰险	jmxm
减小	jmxn
间歇	jmxp
检修	jmxq
拣选	jmxr
奸雄	jmxs
简讯	jmxy
减压	jmya
奸淫	jmyb
简要	jmyc
救民于水火	jmyh
建议	jmyi
检验	jmyj
坚硬	jmyk
减员	jmyr
简约	jmyt
鉴于	jmyu
兼有	jmyz
间杂	jmza
建造	jmzc
健在	jmzd
简则	jmze
尖子	jmzi
奸贼	jmzw
教案	jnan
骄傲	jnao
脚本	jnbf
搅拌	jnbj
狡辩	jnbm
脚步	jnbu
脚背	jnbw
交兵	jnbk
教材	jncd
窖藏	jnch
交错	jnco
较大	jnda
教导	jndc
交代	jndd
较低	jndi
校订	jndk
焦点	jndm
较多	jndo
较短	jndr
搅动	jnds
角度	jndu
校对	jndv
交恶	jnee
九牛二虎之力	jnel
叫法	jnfa
酒囊饭袋	jnfd
交锋	jnfg
交付	jnfu
缴费	jnfw
较高	jngc
交割	jnge
脚跟	jngf
较广	jngl
教过	jngo
教官	jngr
娇贵	jngv
交给	jngw
交媾	jngz
较好	jnhc
交合	jnhe
骄横	jnhg
交行	jnhh
叫喊	jnhj
脚踝	jnhk
教皇	jnhl
交货	jnho
交换	jnhr
叫唤	jnhr
交互	jnhu
教会	jnhv
焦黑	jnhw
狡猾	jnhx
搅浑	jnhy
交叉	jnia
交差	jnid
轿车	jnie
娇嗔	jnif
教程	jnig
较长	jnih
角尺	jnii
娇宠	jnis
交出	jniu
叫春	jniy
娇喘	jnir
较近	jnjb
交际	jnji
交警	jnjk
脚尖	jnjm
教教	jnjn
交接	jnjp
叫绝	jnjt
焦距	jnju
借你吉言	jnjy
教科	jnke
校勘	jnkj
较快	jnkk
骄狂	jnkl
交款	jnkr
叫苦	jnku
叫来	jnld
脚力	jnli
较量	jnll
教练	jnlm
脚镣	jnln
角落	jnlo
交流	jnlq
搅乱	jnlr
蛟龙	jnls
焦虑	jnlv
经年累月	jnly
叫骂	jnma
叫卖	jnmd
叫门	jnmf
锦囊妙计	jnmj
脚面	jnmm
角膜	jnmo
剿灭	jnmp
酵母	jnmu
娇媚	jnmw
缴纳	jnna
娇嫩	jnnf
胶囊	jnnh
较难	jnnj
娇娘	jnnl
今年年初	jnni
今年年底	jnnd
纪念品	jnpb
教派	jnpd
脚盆	jnpf
胶片	jnpm
脚蹼	jnpu
交配	jnpw
娇气	jnqi
交情	jnqk
较强	jnql
交钱	jnqm
角球	jnqq
郊区	jnqu
叫嚷	jnrh
较弱	jnro
交融	jnrs
娇柔	jnrz
搅扰	jnrc
角色	jnse
绞死	jnsi
教唆	jnso
交通	jnts
教堂	jnth
交替	jnti
交谈	jntj
叫停	jntk
教条	jntn
教徒	jntu
交投	jntz
叫啥	jnua
较少	jnuc
交涉	jnue
叫声	jnug
脚上	jnuh
教师	jnui
教书	jnuu
胶水	jnuv
教授	jnuz
狡诈	jnva
叫着	jnve
较真	jnvf
矫正	jnvg
脚掌	jnvh
脚趾	jnvi
交战	jnvj
焦灼	jnvo
较重	jnvs
浇筑	jnvu
校准	jnvy
郊外	jnwd
交往	jnwh
较晚	jnwj
教务	jnwu
较为	jnww
交心	jnxb
侥幸	jnxk
较小	jnxn
缴械	jnxp
娇羞	jnxq
脚癣	jnxr
教学	jnxt
解囊相助	jnxv
脚下	jnxx
教训	jnxy
艰难险阻	jnxz
脚丫	jnya
脚印	jnyb
教养	jnyh
交易	jnyi
校验	jnyj
九牛一毛	jnym
较远	jnyr
校阅	jnyt
教育	jnyu
搅匀	jnyy
交友	jnyz
焦躁	jnzc
饺子	jnzi
叫作	jnzo
基诺族	jnzu
暨南大学	jndx
节哀	jpai
结案	jpan
结巴	jpba
解包	jpbc
洁白	jpbd
接班	jpbj
结冰	jpbk
街边	jpbm
戒备	jpbw
节操	jpcc
芥菜	jpcd
阶层	jpcg
借此	jpci
结存	jpcy
解答	jpda
街道	jpdc
接待	jpdd
街灯	jpdg
姐弟	jpdi
界定	jpdk
节点	jpdm
阶段	jpdr
解冻	jpds
解读	jpdu
揭发	jpfa
接风	jpfg
解放	jpfh
姐夫	jpfu
劫匪	jpfw
借光	jpgl
结果	jpgo
接管	jpgr
解雇	jpgu
接轨	jpgv
借给	jpgw
结构	jpgz
截稿	jpgc
鸡皮疙瘩	jpgd
桔梗	jpgg
接好	jphc
结合	jphe
解恨	jphf
介怀	jphk
解惑	jpho
介乎	jphu
结汇	jphv
结婚	jphy
节后	jphz
就怕货比货	jphh
解嘲	jpic
竭诚	jpig
结肠	jpih
劫持	jpii
解馋	jpij
揭穿	jpir
接触	jpiu
结仇	jpiz
接近	jpjb
阶级	jpji
结晶	jpjk
借鉴	jpjm
结交	jpjn
姐姐	jpjp
解救	jpjq
解决	jpjt
结局	jpju
节假	jpjx
解开	jpkd
解渴	jpke
借款	jpkr
解困	jpky
借口	jpkz
借来	jpld
借了	jple
竭力	jpli
节令	jplk
接连	jplm
截留	jplq
劫掠	jplt
揭露	jplu
戒律	jplv
结论	jply
解码	jpma
睫毛	jpmc
解闷	jpmf
结盟	jpmg
解密	jpmi
届满	jpmj
界面	jpmm
芥末	jpmo
节目	jpmu
姐妹	jpmw
接纳	jpna
节能	jpng
解囊	jpnh
劫难	jpnj
界内	jpnw
截屏	jppk
解聘	jppb
节拍	jppd
洁癖	jppi
接盘	jppj
揭破	jppo
解剖	jppz
借钱	jpqm
结亲	jpqb
节气	jpqi
结清	jpqk
接球	jpqq
截取	jpqu
接洽	jpqx
接任	jprf
接壤	jprh
节日	jpri
截然	jprj
介入	jpru
家破人亡	jprw
家贫如洗	jprx
劫色	jpse
解散	jpsj
解锁	jpso
结算	jpsr
接送	jpss
借宿	jpsu
解套	jptc
接替	jpti
截瘫	jptj
接听	jptk
借条	jptn
解脱	jpto
接通	jpts
截图	jptu
街头	jptz
介绍	jpuc
结社	jpue
节省	jpug
街上	jpuh
解释	jpui
解说	jpuo
结束	jpuu
接受	jpuz
接招	jpvc
借债	jpvd
接着	jpve
接诊	jpvf
结账	jpvh
截止	jpvi
接站	jpvj
结转	jpvr
接种	jpvs
借助	jpvu
界外	jpwd
接吻	jpwf
结网	jpwh
街舞	jpwu
结尾	jpww
就怕万一	jpwy
戒心	jpxb
解析	jpxi
借坡下驴	jpxl
界限	jpxm
揭晓	jpxn
节选	jpxr
金盆洗手	jpxu
解压	jpya
皆因	jpyb
解药	jpyc
结业	jpye
介意	jpyi
戒烟	jpyj
接应	jpyk
结缘	jpyr
借用	jpys
节约	jpyt
介于	jpyu
皆有	jpyz
节奏	jpzz
结扎	jpza
诘责	jpze
杰作	jpzo
景颇族	jpzu
酒吧	jqba
九百	jqbd
旧版	jqbj
救兵	jqbk
鸡犬不留	jqbl
鸡犬不宁	jqbn
久别	jqbp
坚强不屈	jqbq
就不	jqbu
将勤补拙	jqbv
酒杯	jqbw
就此	jqci
韭菜	jqcd
就餐	jqcj
纠错	jqco
夹枪带棒	jqdb
久等	jqdg
就地	jqdi
酒店	jqdm
九段	jqdr
就读	jqdu
纠纷	jqff
就范	jqfj
奖勤罚懒	jqfl
舅父	jqfu
九个	jqge
酒缸	jqgh
救国	jqgo
酒馆	jqgr
九宫	jqgs
酒鬼	jqgv
究其根源	jqgy
就会	jqhv
就好	jqhc
纠合	jqhe
九曲回肠	jqhi
韭黄	jqhl
救火	jqho
救护	jqhu
酒后	jqhz
纠察	jqia
九成	jqig
纠缠	jqij
救出	jqiu
就近	jqjb
救济	jqji
究竟	jqjk
九江	jqjl
纠结	jqjp
舅舅	jqjq
旧居	jqju
酒家	jqjx
酒令	jqlk
酒量	jqll
久留	jqlq
九龙	jqls
酒类	jqlw
酒楼	jqlz
舅妈	jqma
旧貌	jqmc
旧梦	jqmg
救命	jqmk
舅母	jqmu
九年	jqnm
就能	jqng
酒酿	jqnl
酒瓶	jqpk
激情澎湃	jqpp
就寝	jqqb
九千	jqqm
酒气	jqqi
静悄悄	jqqn
酒泉	jqqr
捐弃前嫌	jqqx
救人	jqrf
酒肉	jqrz
酒色	jqse
就算	jqsr
九岁	jqsv
激情四射	jqsu
尽其所能	jqsn
九天	jqtm
旧帖	jqtp
酒徒	jqtu
酒桶	jqts
就是	jqui
救生	jqug
鸡犬升天	jqut
救赎	jquu
酒水	jquv
就手	jquz
纠正	jqvg
旧宅	jqvd
九折	jqve
就诊	jqvf
酒庄	jqvl
旧账	jqvh
救治	jqvi
酒盅	jqvs
救助	jqvu
九州	jqvz
九万	jqwj
酒窝	jqwo
九五	jqwu
久违	jqww
揪心	jqxb
酒席	jqxi
就像	jqxl
九霄	jqxn
就绪	jqxu
酒仙	jqxm
就要	jqyc
就业	jqye
久仰	jqyh
就医	jqyi
酒宴	jqyj
见钱眼开	jqyk
救援	jqyr
九月	jqyt
交浅言深	jqyu
救灾	jqzd
酒糟	jqzc
就座	jqzo
酒醉	jqzv
剑桥大学	jqdx
剧情片	jqpm
见人矮三分	jraf
坚韧不拔	jrbb
卷标	jrbn
截然不同	jrbt
倦怠	jrdd
卷动	jrds
戛然而止	jrev
卷发	jrfa
眷顾	jrgu
噤若寒蝉	jrhi
绢花	jrhx
卷尺	jrii
君辱臣死	jris
静若处子	jriz
卷进	jrjb
渐入佳境	jrjj
见仁见智	jrjv
假仁假义	jrjy
镌刻	jrke
捐款	jrkr
节日快乐	jrkl
眷恋	jrlm
寄人篱下	jrlx
卷毛	jrmc
酒肉朋友	jrpy
坚如磐石	jrpu
捐钱	jrqm
卷曲	jrqu
拒人千里	jrql
拒人千里之外	jrqw
既然如此	jrrc
倦容	jrrs
卷入	jrru
尽如人意	jrry
倦色	jrse
卷缩	jrso
吉人天相	jrtx
假如说	jruo
敬如上宾	jrub
卷舌	jrue
敬若神明	jrum
眷属	jruu
见人说人话	jruh
捐助	jrvu
卷纸	jrvi
急人之难	jrvn
惊人之举	jrvj
卷轴	jrvz
捐物	jrwu
金融危机	jrwj
兼容性	jrxk
捐献	jrxm
娟秀	jrxq
倦意	jryi
卷烟	jryj
隽永	jrys
圈养	jryh
孑然一身	jryu
拒人于千里之外	jryw
井然有序	jryx
佳人有约	jryy
捐赠	jrzg
卷宗	jrzs
吉人自有天相	jrzx
矫揉造作	jrzz
见死不救	jsbj
己所不欲	jsby
酒色财气	jscq
集散地	jsdi
救死扶伤	jsfu
集思广益	jsgy
计算机	jsji
窘境	jsjk
炯炯	jsjs
尖酸刻薄	jskb
窘况	jskl
窘困	jsky
急死了	jsle
窘迫	jspo
计算器	jsqi
迥然	jsrj
窘态	jstd
江苏省	jsug
酒色之徒	jsvt
见所未见	jswj
窘相	jsxl
迥异	jsyi
九死一生	jsyu
惊悚片	jspm
绝壁	jtbi
绝版	jtbj
诀别	jtbp
绝不	jtbu
决策	jtce
觉得	jtde
惊天动地	jtdd
决定	jtdk
决断	jtdr
绝对	jtdv
决斗	jtdz
惊天地泣鬼神	jtdu
借题发挥	jtfh
绝非	jtfw
晶体管	jtgr
集团公司	jtgs
姜太公钓鱼	jtgy
绝好	jthc
惊涛骇浪	jthl
绝活	jtho
绝后	jthz
集体活动	jthd
觉察	jtia
绝尘	jtif
绝唱	jtih
卷土重来	jtil
决出	jtiu
绝交	jtjn
交头接耳	jtje
绝技	jtji
绝境	jtjk
倔强	jtjl
决绝	jtjt
绝句	jtju
绝佳	jtjx
几天几夜	jtjy
掘开	jtkd
决口	jtkz
决裂	jtlp
九天揽月	jtly
焦头烂额	jtle
脚踏两只船	jtli
进退两难	jtln
景泰蓝	jtlj
绝路	jtlu
绝密	jtmi
绝妙	jtmn
绝美	jtmw
九头鸟	jtnn
绝配	jtpw
崛起	jtqi
绝情	jtqk
诀窍	jtqn
攫取	jtqu
决然	jtrj
家徒四壁	jtsb
决赛	jtsd
角色	jtse
狡兔三窟	jtsk
决算	jtsr
狡兔死走狗烹	jtsp
掘土	jttu
叫天天不应	jtty
绝杀	jtua
脚踏实地	jtud
决胜	jtug
爵士	jtui
进退失据	jtuj
绝招	jtvc
绝症	jtvg
决战	jtvj
绝种	jtvs
角逐	jtvu
家庭主妇	jtvf
经天纬地	jtwd
进退维谷	jtwg
绝望	jtwh
进退无门	jtwm
觉悟	jtwu
爵位	jtww
具体问题具体分析	jtwx
决心	jtxb
觉醒	jtxk
绝响	jtxl
绝学	jtxt
街头巷尾	jtxw
精挑细选	jtxx
街谈巷议	jtxy
决议	jtyi
鸡同鸭讲	jtyj
金童玉女	jtyn
绝缘	jtyr
绝育	jtyu
抉择	jtze
噘嘴	jtzv
家庭作业	jtzy
兼听则明	jtzm
简体字	jtzi
交通大学	jtdx
交通银行	jtyh
济世安邦	juab
济世安民	juam
倨傲	juao
举报	jubc
剧本	jubf
举办	jubj
举兵	jubk
巨变	jubm
见势不妙	jubm
局部	jubu
具备	jubw
兼收并蓄	jubx
接受不了	jubl
今时不同往日	jubr
据实禀告	jubg
精神不振	jubv
据此	juci
聚餐	jucj
举措	juco
局促	jucu
巨大	juda
见识短浅	judq
家书抵万金	judj
绝世独立	judl
据点	judm
居多	judo
句段	judr
举动	juds
剧毒	judu
江山代有才人出	judi
巨额	juee
句法	jufa
飓风	jufg
举凡	jufj
精神分裂	jufl
健身房	jufh
聚光	jugl
举国	jugo
举世公认	jugr
鞠躬	jugs
巨贾	jugu
娇生惯养	jugy
句号	juhc
聚合	juhe
橘黄	juhl
精神焕发	juhf
借尸还魂	juhh
惊世骇俗	juhs
聚会	juhv
菊花	juhx
居后	juhz
寄生虫	juis
据查	juia
积少成多	juid
据称	juig
剧场	juih
锯齿	juii
据传	juir
聚沙成塔	juit
举出	juiu
积水成渊	juiy
拘谨	jujb
聚集	juji
举荐	jujm
聚焦	jujn
拒绝	jujt
今生今世	juju
居家	jujx
巨款	jukr
巨浪	julh
距离	juli
举例	juli
剧烈	julp
拘留	julq
巨龙	juls
近水楼台	jult
就事论事	julu
近水楼台先得月	july
居民	jumb
局面	jumm
句末	jumo
剧目	jumu
几十年	junm
拘拿	juna
拘泥	juni
劫数难逃	junt
几十年前	junq
几十年来	junl
几十年如一日	junr
惧怕	jupa
拒赔	jupw
举起	juqi
剧情	juqk
居前	juqm
俱全	juqr
决胜千里之外	juqw
见识浅薄	juqb
巨人	jurf
江山如画	jurh
居然	jurj
沮丧	jush
惧色	juse
聚散	jusj
居所	juso
锦上添花	juth
具体	juti
锯条	jutn
剧团	jutr
剧痛	juts
剧透	jutz
九省通衢	jutq
局势	juui
据说	juuo
拘束	juuu
拒收	juuz
剧照	juvc
举着	juve
矩阵	juvf
举证	juvg
局长	juvh
举止	juvi
举手之劳	juvl
举世瞩目	juvm
居中	juvs
居住	juvu
经世致用	juvy
积善之家，必有余庆	juvq
局外	juwd
金石为开	juwk
举世闻名	juwm
举世无双	juwu
句尾	juww
居心	juxb
据悉	juxi
举行	juxk
及时行乐	juxl
局限	juxm
巨蟹	juxp
拘押	juya
尽收眼底	juyd
江山易改	juyg
剧院	juyr
局域	juyu
骄奢淫逸	juyy
具有	juyz
今是昨非	juzf
剧增	juzg
洁身自好	juzh
句子	juzi
经史子集	juzj
剧组	juzu
建设银行	juyh
紧追不舍	jvbu
见诸报端	jvbd
精忠报国	jvbg
接踵比肩	jvbj
久治不愈	jvby
坚贞不屈	jvbq
绝知此事要躬行	jvcx
就知道	jvdc
就知道了	jvdl
就知道玩	jvdw
接踵而至	jvev
接踵而来	jvel
鸡爪疯	jvfg
价值观	jvgr
九寨沟	jvgz
金针菇	jvgu
见招拆招	jviv
假正经	jvjk
尽职尽责	jvjz
集中精力	jvjl
急诊科	jvke
价值连城	jvli
加州理工	jvlg
记住了	jvle
就这么	jvme
拒之门外	jvmw
就这么办	jvmb
紧皱眉头	jvmt
积重难返	jvnf
鸠占鹊巢	jvqi
截止日	jvri
举重若轻	jvrq
禁止入内	jvrn
简直是	jvui
举止失措	jvuc
急中生智	jvuv
近朱者赤	jvvi
近朱者赤，近墨者黑	jvvh
急转直下	jvvx
建筑物	jvwu
夹着尾巴	jvwb
甲状腺	jvxm
街知巷闻	jvxw
就这样吧	jvyb
就这样了	jvyl
教职员工	jvyg
金枝玉叶	jvyy
今朝有酒今朝醉	jvyz
击中要害	jvyh
就职于	jvyu
肩周炎	jvyj
仅止于此	jvyc
句斟字酌	jvzv
加州大学	jvdx
既往不咎	jwbj
金屋藏娇	jwcj
居无定所	jwds
久闻大名	jwdm
泾渭分明	jwfm
矫枉过正	jwgv
居委会	jwhv
教无常师	jwiu
鸡尾酒	jwjq
绝无仅有	jwjy
继往开来	jwkl
就为了	jwle
几万年	jwnm
家无宁日	jwnr
局外人	jwrf
据我所知	jwsv
惊为天人	jwtr
救亡图存	jwtc
精卫填海	jwth
家务事	jwui
节外生枝	jwuv
健忘症	jwvg
局外之人	jwvr
见微知著	jwvv
极为重要	jwvy
九五之尊	jwvz
基围虾	jwxx
金无足赤	jwzi
夹袄	jxao
嘉宾	jxbb
驾崩	jxbg
假币	jxbi
加班	jxbj
居心不良	jxbl
惊喜不已	jxby
敬谢不敏	jxbm
加倍	jxbw
酒香不怕巷子深	jxbu
将心比心	jxbx
家财	jxcd
夹层	jxcg
加仓	jxch
加词	jxci
加粗	jxcu
加餐	jxcj
加大	jxda
驾到	jxdc
夹带	jxdd
假的	jxde
家当	jxdh
家底	jxdi
假定	jxdk
家电	jxdm
嫉贤妒能	jxdn
惊心动魄	jxdp
匠心独具	jxdj
加法	jxfa
加分	jxff
夹缝	jxfg
甲方	jxfh
家父	jxfu
钾肥	jxfw
价格	jxge
加盖	jxgd
甲肝	jxgj
加工	jxgs
加固	jxgu
家规	jxgv
嫁给	jxgw
架构	jxgz
加号	jxhc
加害	jxhd
家伙	jxho
锦绣河山	jxhu
假话	jxhx
交相辉映	jxhy
加厚	jxhz
价差	jxia
假钞	jxic
驾车	jxie
甲醇	jxiy
加成	jxig
加长	jxih
家产	jxij
加持	jxii
家畜	jxiu
家丑	jxiz
加紧	jxjb
嘉奖	jxjl
家境	jxjk
加减	jxjm
家教	jxjn
嫁接	jxjp
假酒	jxjq
家具	jxju
加价	jxjx
将信将疑	jxjy
加快	jxkk
夹克	jxke
加宽	jxkr
架空	jxks
甲亢	jxkh
驾临	jxlb
接下来	jxld
加了	jxle
家里	jxli
驾龄	jxlk
敬贤礼士	jxlu
加码	jxma
假冒	jxmc
家门	jxmf
加盟	jxmg
加密	jxmi
加满	jxmj
假名	jxmk
加冕	jxmm
价目	jxmu
假寐	jxmw
加纳	jxna
积习难改	jxng
家奴	jxnu
鲸吸牛饮	jxny
佳偶	jxou
教学片	jxpm
家贫	jxpb
居心叵测	jxpc
加蓬	jxpg
家谱	jxpu
加强	jxql
假期	jxqi
家禽	jxqb
价钱	jxqm
加群	jxqy
架桥	jxqn
近乡情怯	jxqq
甲醛	jxqr
嫁娶	jxqu
加热	jxre
家人	jxrf
假日	jxri
戛然	jxrj
假若	jxro
加入	jxru
吉祥如意	jxry
加速	jxsu
加赛	jxsd
家私	jxsi
枷锁	jxso
见贤思齐	jxsq
家庭	jxtk
假条	jxtn
袈裟	jxua
假设	jxue
加深	jxuf
假摔	jxuk
夹生	jxug
加上	jxuh
驾驶	jxui
假山	jxuj
假说	jxuo
家属	jxuu
加水	jxuv
谨小慎微	jxuw
加收	jxuz
驾照	jxvc
夹着	jxve
家政	jxvg
家宅	jxvd
家长	jxvh
价值	jxvi
假装	jxvl
加重	jxvs
假戏真做	jxvz
吉凶未卜	jxwb
加温	jxwf
家务	jxwu
价位	jxww
加薪	jxxb
居心险恶	jxxe
加息	jxxi
嘉兴	jxxk
家乡	jxxl
驾校	jxxn
家学	jxxt
嘉许	jxxu
家训	jxxy
佳肴	jxyc
家业	jxye
家养	jxyh
加以	jxyi
家园	jxyr
家用	jxys
驾驭	jxyu
九霄云外	jxyw
家学渊源	jxyy
惊喜欲狂	jxyk
加油	jxyz
交响乐	jxyt
机械运动	jxyd
夹杂	jxza
假造	jxzc
加载	jxzd
架子	jxzi
佳作	jxzo
家族	jxzu
家贼	jxzw
加派	jxpd
进一步	jybu
军备	jybw
近义词	jyci
金银财宝	jycb
精于此道	jycd
假以辞色	jycs
决一雌雄	jycx
军刀	jydc
均等	jydg
解疑答惑	jydh
胶原蛋白	jydb
久仰大名	jydm
军队	jydv
均分	jyff
军方	jyfh
奖优罚劣	jyfl
举一反三	jyfs
军服	jyfu
军费	jyfw
军阀	jyfa
竣工	jygs
军歌	jyge
军港	jygh
军官	jygr
军规	jygv
紧要关头	jygt
均衡	jyhg
军号	jyhc
军火	jyho
家喻户晓	jyhx
寄予厚望	jyhw
君臣	jyif
军车	jyie
积忧成疾	jyij
集腋成裘	jyiq
军纪	jyji
军舰	jyjm
俊杰	jyjp
均价	jyjx
教育局	jyju
家有家规	jyjg
均可	jyke
极有可能	jykn
菌类	jylw
将遇良才	jylc
记忆力	jyli
军令	jylk
龟裂	jylp
军旅	jylv
金玉良言	jyly
骏马	jyma
军民	jymb
金玉满堂	jymt
俊美	jymw
均能	jyng
俊男	jynj
机缘巧合	jyqh
急于求成	jyqi
精益求精	jyqj
俊俏	jyqn
军权	jyqr
军区	jyqu
军情	jyqk
金玉其外	jyqw
军人	jyrf
军容	jyrs
交易所	jyso
骄阳似火	jysh
见异思迁	jysq
均速	jysu
决一死战	jysv
均摊	jytj
军团	jytr
绝缘体	jyti
晶莹剔透	jytt
决一胜负	jyuf
解疑释惑	jyuh
军事	jyui
假以时日	jyur
谨言慎行	jyux
经一事，长一智	jyuv
军长	jyvh
军装	jyvl
经验之谈	jyvt
君主	jyvu
君王	jywh
均无	jywu
激扬文字	jywz
军训	jyxy
军心	jyxb
均系	jyxi
军饷	jyxl
均线	jyxm
军校	jyxn
军械	jyxp
俊秀	jyxq
军医	jyyi
军演	jyyj
军营	jyyk
军用	jyys
军乐	jyyt
锦衣玉食	jyyu
见义勇为	jyyw
记忆犹新	jyyx
均匀	jyyy
均有	jyyz
鸡鸭鱼肉	jyyr
娇艳欲滴	jyyd
君子	jyzi
咎由自取	jyzq
君子爱财	jzac
君子爱财，取之有道	jzad
酒糟鼻	jzbi
焦躁不安	jzba
尽在不言中	jzbv
君子动口不动手	jzdu
竭泽而渔	jzey
酒足饭饱	jzfb
君子好逑	jzhq
尖嘴猴腮	jzhs
节奏感	jzgj
架子鼓	jzgu
君子固穷	jzgq
剧作家	jzjx
君子兰	jzlj
家贼难防	jznf
剑走偏锋	jzpf
举足轻重	jzqv
金字塔	jzta
近在咫尺	jzvi
君子之交	jzvj
金字招牌	jzvp
箭在弦上，不得不发	jzxf
捷足先登	jzxd
箭在弦上	jzxu
就在于	jzyu
近在眼前	jzyq
君子一言	jzyy
君子远庖厨	jzyi
君子一言，驷马难追	jzyv
卡顿	kady
咔哒	kada
咖啡	kafw
卡号	kahc
卡车	kaie
咔嚓	kaia
咔咔	kaka
卡片	kapm
卡通	kats
喀什	kaui
卡住	kavu
看不懂	kbds
看不到	kbdc
口不对心	kbdx
看不惯	kbgr
刻薄寡恩	kbge
愧不敢当	kbgd
溃不成军	kbij
科班出身	kbiu
看不出来	kbil
看不见	kbjm
可不就是	kbju
看不看	kbkj
看不开	kbkd
肯不肯	kbkf
可不可以	kbky
可不可能	kbkn
快步流星	kblx
看不明白	kbmb
看不清	kbqk
看不起	kbqi
刻不容缓	kbrh
看不透	kbtz
看不太懂	kbtd
可不是	kbui
看不顺眼	kbuy
可比性	kbxk
看不下去	kbxq
可不要	kbyc
口不应心	kbyx
空不异色	kbys
哭鼻子	kbzi
恐怖组织	kbzv
恐怖片	kbpm
靠岸	kcan
拷贝	kcbw
靠边	kcbm
考点	kcdm
拷打	kcda
烤鹅	kcee
考分	kcff
考古	kcgu
考官	kcgr
考核	kche
烤火	kcho
靠后	kchz
考察	kcia
看菜吃饭	kcif
考场	kcih
靠近	kcjb
烤鸡	kcji
烤焦	kcjn
考究	kcjq
考卷	kcjr
考考	kckc
看错了	kcle
考拉	kcla
犒劳	kclc
考量	kcll
靠拢	kcls
烤炉	kclu
考虑	kclv
靠谱	kcpu
考评	kcpk
考勤	kcqb
靠前	kcqm
考取	kcqu
考入	kcru
烤肉	kcrz
考题	kcti
考生	kcug
考上	kcuh
考试	kcui
靠山	kcuj
考证	kcvg
靠着	kcve
考中	kcvs
考完	kcwj
拷问	kcwf
烤箱	kcxl
考验	kcyj
烤鸭	kcya
开办	kdbj
开拔	kdba
开播	kdbo
开采	kdcd
开仓	kdch
空荡荡	kddh
开导	kddc
开灯	kddg
开店	kddm
开端	kddr
开动	kdds
开恩	kden
开发	kdfa
开封	kdfg
开放	kdfh
开饭	kdfj
开赴	kdfu
开关	kdgr
开工	kdgs
开国	kdgo
凯歌	kdge
开怀	kdhk
开荒	kdhl
开火	kdho
开户	kdhu
开会	kdhv
开花	kdhx
开荤	kdhy
哭爹喊娘	kdhn
开车	kdie
开场	kdih
开创	kdil
开船	kdir
开除	kdiu
开春	kdiy
开机	kdji
开奖	kdjl
开解	kdjp
开卷	kdjr
开掘	kdjt
开局	kdju
看得见摸得着	kdjv
铠甲	kdjx
看得见	kdjm
开口	kdkz
开开	kdkd
开课	kdke
开垦	kdkf
开阔	kdko
开裆裤	kdku
开来	kdld
开了	kdle
开朗	kdlh
开立	kdli
凯迪拉克	kdlk
开罗	kdlo
开溜	kdlq
开路	kdlu
开门	kdmf
开满	kdmj
开明	kdmk
楷模	kdmo
开幕	kdmu
开盘	kdpj
开炮	kdpc
开拍	kdpd
开辟	kdpi
开篇	kdpm
开票	kdpn
夸大其词	kdqc
开启	kdqi
开枪	kdql
开窍	kdqn
开球	kdqq
开去	kdqu
慨然	kdrj
开赛	kdsd
开膛	kdth
楷体	kdti
慨叹	kdtj
开庭	kdtk
开拓	kdto
开帖	kdtp
开通	kdts
开头	kdtz
开设	kdue
开始	kdui
开衫	kduj
开涮	kdur
楷书	kduu
开水	kduv
开闸	kdva
开斋	kdvd
开着	kdve
开张	kdvh
开支	kdvi
开展	kdvj
快刀斩乱麻	kdvm
克敌制胜	kdvu
开往	kdwh
开外	kdwd
开悟	kdwu
开胃	kdww
开心	kdxb
开销	kdxn
凯旋	kdxr
开学	kdxt
可读性	kdxk
开业	kdye
开眼	kdyj
慨当以慷	kdyk
开源	kdyr
揩油	kdyz
开凿	kdzc
开罪	kdzv
可爱	keai
课本	kebf
可比	kebi
刻板	kebj
可变	kebm
课表	kebn
刻薄	kebo
可别	kebp
可悲	kebw
可曾	kecg
客舱	kech
磕掉	kedn
刻度	kedu
客队	kedv
蝌蚪	kedz
客房	kefh
客饭	kefj
克服	kefu
可否	kefz
客观	kegr
可供	kegs
刻骨	kegu
可贵	kegv
可好	kehc
可恨	kehf
可汗	kehj
